"","Data.From","Diet","ID","Recovery.rate.percentage","Vol.per.well.ml","Minute","OD450","Insulin","Dil_Ins","Insulin_ng","Group"
"459","28.02.2019","2d HFD","1493",51.6,0.145,2,0.053,0.05,0.25,0.03625,"1mM"
"460","28.02.2019","2d HFD","1493",51.6,0.145,3,0.045,0.05,0.25,0.03625,"1mM"
"461","28.02.2019","2d HFD","1493",51.6,0.145,4,0.051,0.05,0.25,0.03625,"1mM"
"462","28.02.2019","2d HFD","1493",51.6,0.145,5,0.048,0.05,0.25,0.03625,"6mM"
"464","28.02.2019","2d HFD","1493",51.6,0.145,7,0.068,0.1584,0.792,0.11484,"6mM"
"465","28.02.2019","2d HFD","1493",51.6,0.145,8,0.136,0.6989,3.4945,0.5067025,"6mM"
"466","28.02.2019","2d HFD","1493",51.6,0.145,9,0.127,0.6252,3.126,0.45327,"6mM"
"467","28.02.2019","2d HFD","1493",51.6,0.145,10,0.106,0.4535,2.2675,0.3287875,"6mM"
"468","28.02.2019","2d HFD","1493",51.6,0.145,11,0.076,0.2182,1.091,0.158195,"6mM"
"469","28.02.2019","2d HFD","1493",51.6,0.145,12,0.066,0.1436,0.718,0.10411,"6mM"
"470","28.02.2019","2d HFD","1493",51.6,0.145,13,0.062,0.1144,0.572,0.08294,"6mM"
"471","28.02.2019","2d HFD","1493",51.6,0.145,14,0.064,0.1289,0.6445,0.0934525,"6mM"
"472","28.02.2019","2d HFD","1493",51.6,0.145,15,0.055,0.064,0.32,0.0464,"6mM"
"473","28.02.2019","2d HFD","1493",51.6,0.145,16,0.082,0.264,1.32,0.1914,"6mM"
"474","28.02.2019","2d HFD","1493",51.6,0.145,17,0.065,0.1363,0.6815,0.0988175,"6mM"
"476","28.02.2019","2d HFD","1493",51.6,0.145,19,0.061,0.1071,0.5355,0.0776475,"20mM"
"477","28.02.2019","2d HFD","1493",51.6,0.145,20,0.112,0.5022,2.511,0.364095,"20mM"
"478","28.02.2019","2d HFD","1493",51.6,0.145,21,0.176,1.0099,5.0495,0.7321775,"20mM"
"479","28.02.2019","2d HFD","1493",51.6,0.145,22,0.153,0.8354,4.177,0.605665,"20mM"
"480","28.02.2019","2d HFD","1493",51.6,0.145,23,0.12,0.5677,2.8385,0.4115825,"20mM"
"481","28.02.2019","2d HFD","1493",51.6,0.145,24,0.147,0.7878,3.939,0.571155,"20mM"
"482","28.02.2019","2d HFD","1493",51.6,0.145,25,0.136,0.6989,3.4945,0.5067025,"20mM"
"483","28.02.2019","2d HFD","1493",51.6,0.145,26,0.118,0.5513,2.7565,0.3996925,"20mM"
"484","28.02.2019","2d HFD","1493",51.6,0.145,27,0.129,0.6416,3.208,0.46516,"20mM"
"485","28.02.2019","2d HFD","1493",51.6,0.145,28,0.128,0.6334,3.167,0.459215,"20mM"
"486","28.02.2019","2d HFD","1493",51.6,0.145,29,0.131,0.658,3.29,0.47705,"20mM"
"487","28.02.2019","2d HFD","1493",51.6,0.145,30,0.132,0.6662,3.331,0.482995,"20mM"
"488","28.02.2019","2d HFD","1493",51.6,0.145,31,0.117,0.5431,2.7155,0.3937475,"20mM"
"489","28.02.2019","2d HFD","1493",51.6,0.145,32,0.066,0.1436,2.872,0.41644,"20mM"
"491","28.02.2019","2d HFD","1493",51.6,0.145,34,0.119,0.5595,11.19,1.62255,"KCl"
"492","28.02.2019","2d HFD","1493",51.6,0.145,35,0.138,0.7151,14.302,2.07379,"KCl"
"493","28.02.2019","2d HFD","1493",51.6,0.145,36,0.232,1.3698,27.396,3.97242,"KCl"
"494","28.02.2019","2d HFD","1493",51.6,0.145,37,0.143,0.7556,15.112,2.19124,"KCl"
"495","28.02.2019","2d HFD","1493",51.6,0.145,38,0.104,0.4374,8.748,1.26846,"KCl"
