"","ID","Group","Peak"
"1","1433","1mM",0.417025401410217
"2","1433","20mM",8.16438797869306
"3","1433","6mM",4.06224136899875
"4","1433","KCl",13.9000419659915
"5","1467","1mM",0.466334853363171
"6","1467","20mM",2.82131812174822
"7","1467","6mM",2.0734906754154
"8","1467","KCl",10.7008222421516
"9","1468","1mM",0.200541440667189
"10","1468","20mM",2.12452617681273
"11","1468","6mM",1.86156438637546
"12","1468","KCl",9.14085473278267
"13","1469","1mM",0.232918769974849
"14","1469","20mM",4.54713435302395
"15","1469","6mM",6.94337531579264
"16","1469","KCl",17.3716762106193
"17","1478","1mM",0.306970832372577
"18","1478","20mM",4.83134664372247
"19","1478","6mM",9.03480288739672
"20","1478","KCl",13.3147290886232
"21","1479","1mM",0.270774790283491
"22","1479","20mM",4.42598988059262
"23","1479","6mM",5.48668410098501
"24","1479","KCl",11.6037636882535
"25","1483","1mM",0.0942761657439753
"26","1483","20mM",2.98913577472455
"27","1483","6mM",0.314070376646849
"28","1483","KCl",9.94354340972808
"29","1484","1mM",0.437573688250025
"30","1484","20mM",4.9870433077181
"31","1484","6mM",4.05479736463839
"32","1484","KCl",14.0746849002923
"33","1486","1mM",0.499096767346674
"34","1486","20mM",3.90568623600559
"35","1486","6mM",2.44755788336528
"36","1486","KCl",10.7997697457477
"37","1490","1mM",0.585790319221088
"38","1490","20mM",6.85362356514287
"39","1490","6mM",2.92565767767634
"40","1490","KCl",8.93896752307796
"41","1491","1mM",0.718372476719258
"42","1491","20mM",4.77131396884034
"43","1491","6mM",3.22063166814336
"44","1491","KCl",10.6952104619826
"45","1492","1mM",0.899601617397887
"46","1492","20mM",4.79824059542923
"47","1492","6mM",6.74366650062949
"48","1492","KCl",15.8998910181218
"49","1493","1mM",0.0484677601215554
"50","1493","20mM",0.708101369671599
"51","1493","6mM",0.4962651255726
"52","1493","KCl",3.92760093078424
